MMSI,DFSI,record_count,max_gap_hours,impossible_jump_km,draft_change_count,going_dark_events,draft_change_events,teleportation_events
314207000,0.000000,389,0.000,0.000,0,0,0,0
265547110,0.000000,6,0.000,0.000,0,0,0,0
636015378,0.000000,63,0.000,0.000,0,0,0,0
265527470,0.000000,60,0.000,0.000,0,0,0,0
257608500,0.000000,54,0.000,0.000,0,0,0,0
636021061,0.000000,156,0.000,0.000,0,0,0,0
219002774,0.000000,63,0.000,0.000,0,0,0,0
211265610,0.000000,28,0.000,0.000,0,0,0,0
219029699,0.000000,28,0.000,0.000,0,0,0,0
219004896,0.000000,43,0.000,0.000,0,0,0,0
219004242,0.000000,114,0.000,0.000,0,0,0,0
211624870,0.000000,57,0.000,0.000,0,0,0,0
245319000,0.000000,162,0.000,0.000,0,0,0,0
305573000,0.000000,519,0.000,0.000,0,0,0,0
205772000,0.000000,97,0.000,0.000,0,0,0,0
211101000,0.000000,26,0.000,0.000,0,0,0,0
235113771,0.000000,421,0.000,0.000,0,0,0,0
265030800,0.000000,22,0.000,0.000,0,0,0,0
211254100,0.000000,2,0.000,0.000,0,0,0,0
219018615,0.000000,5,0.000,0.000,0,0,0,0
244742000,0.000000,278,0.000,0.000,0,0,0,0
265810820,0.000000,18,0.000,0.000,0,0,0,0
266458000,0.000000,75,0.000,0.000,0,0,0,0
257861000,0.000000,80,0.000,0.000,0,0,0,0
266469000,0.000000,84,0.000,0.000,0,0,0,0
257206000,0.000000,182,0.000,0.000,0,0,0,0
219031797,0.000000,58,0.000,0.000,0,0,0,0
219000859,0.000000,74,0.000,0.000,0,0,0,0
636016697,0.000000,139,0.000,0.000,0,0,0,0
211233010,0.000000,22,0.000,0.000,0,0,0,0
265511420,0.000000,92,0.000,0.000,0,0,0,0
244016000,0.000000,36,0.000,0.000,0,0,0,0
245693000,0.000000,173,0.000,0.000,0,0,0,0
255806257,0.000000,148,0.000,0.000,0,0,0,0
244074000,0.000000,242,0.000,0.000,0,0,0,0
220432777,0.000000,5,0.000,0.000,0,0,0,0
265627630,0.000000,42,0.000,0.000,0,0,0,0
257176000,0.000000,38,0.000,0.000,0,0,0,0
219007265,0.000000,3,0.000,0.000,0,0,0,0
220317000,0.000000,35,0.000,0.000,0,0,0,0
219705000,0.000000,44,0.000,0.000,0,0,0,0
219022047,0.000000,51,0.000,0.000,0,0,0,0
211227270,0.000000,37,0.000,0.000,0,0,0,0
211130000,0.000000,70,0.000,0.000,0,0,0,0
249219000,0.000000,29,0.000,0.000,0,0,0,0
219014974,0.000000,51,0.000,0.000,0,0,0,0
244224000,0.000000,155,0.000,0.000,0,0,0,0
277573000,0.000000,18,0.000,0.000,0,0,0,0
258933000,0.000000,719,0.000,0.000,0,0,0,0
219016555,0.000000,211,0.000,0.000,0,0,0,0
230643000,0.000000,386,0.000,0.000,0,0,0,0
219007781,0.000000,208,0.000,0.000,0,0,0,0
211303110,0.000000,46,0.000,0.000,0,0,0,0
210388000,0.000000,100,0.000,0.000,0,0,0,0
219004903,0.000000,68,0.000,0.000,0,0,0,0
219006219,0.000000,29,0.000,0.000,0,0,0,0
265757700,0.000000,53,0.000,0.000,0,0,0,0
219853000,0.000000,70,0.000,0.000,0,0,0,0
220097000,0.000000,3,0.000,0.000,0,0,0,0
265177000,0.000000,50,0.000,0.000,0,0,0,0
258184000,0.000000,1,0.000,0.000,0,0,0,0
219026172,0.000000,49,0.000,0.000,0,0,0,0
246539000,0.000000,32,0.000,0.000,0,0,0,0
265586990,0.000000,33,0.000,0.000,0,0,0,0
265066200,0.000000,13,0.000,0.000,0,0,0,0
219004266,0.000000,38,0.000,0.000,0,0,0,0
211291350,0.000000,42,0.000,0.000,0,0,0,0
219862000,0.000000,48,0.000,0.000,0,0,0,0
219006382,0.000000,35,0.000,0.000,0,0,0,0
219000431,0.000000,180,0.000,0.000,0,0,0,0
219868000,0.000000,30,0.000,0.000,0,0,0,0
219016615,0.000000,73,0.000,0.000,0,0,0,0
257903700,0.000000,13,0.000,0.000,0,0,0,0
219022260,0.000000,36,0.000,0.000,0,0,0,0
219029577,0.000000,66,0.000,0.000,0,0,0,0
219033013,0.000000,42,0.000,0.000,0,0,0,0
219015503,0.000000,5,0.000,0.000,0,0,0,0
219423000,0.000000,192,0.000,0.000,0,0,0,0
219001699,0.000000,7,0.000,0.000,0,0,0,0
253751000,0.000000,41,0.000,0.000,0,0,0,0
255815000,0.000000,415,0.000,0.000,0,0,0,0
352005615,0.000000,63,0.000,0.000,0,0,0,0
211395930,0.000000,19,0.000,0.000,0,0,0,0
219000881,0.000000,65,0.000,0.000,0,0,0,0
219029576,0.000000,29,0.000,0.000,0,0,0,0
219028133,0.000000,4,0.000,0.000,0,0,0,0
219032925,0.000000,6,0.000,0.000,0,0,0,0
211297410,0.000000,215,0.000,0.000,0,0,0,0
266394000,0.000000,42,0.000,0.000,0,0,0,0
211786100,0.000000,6,0.000,0.000,0,0,0,0
265035000,0.000000,108,0.000,0.000,0,0,0,0
219009763,0.000000,13,0.000,0.000,0,0,0,0
219023648,0.000000,124,0.000,0.000,0,0,0,0
211259070,0.000000,7,0.000,0.000,0,0,0,0
538011640,0.000000,124,0.000,0.000,0,0,0,0
219002666,0.000000,111,0.000,0.000,0,0,0,0
